content_id,video_title,publish_date,duration_sec,avg_view_duration,avg_perct_viewed,subs_gained,subs_lost,likes,comments,views,watch_time_hrs,subscribers,impressions,ctr,conversion_rate,month_year,engagement_rate
O-1jTOxSWBM,🧡Navratri Day 4🧡#shorts #malpua#recipe#kushmandamata#traditional#navratri#dusshera,2024-10-05,53.0,18.0,35.44,2,0,20,0,567,2.9382,2,2080,3.65,0.3527336860670194,2024-10,3.53
8djvMzeQLq8,Butter Pizza 🍕#healthierecipes24 #pizza #butterpizza#food #viral,2025-10-23,51.0,19.0,38.18,0,0,12,0,1914,3.5492,0,592,3.38,0.0,2025-10,0.63
GTPdTTQjJ0Q,Gooseberry Rassam ✨#shorts #healthierecipes24 #gooseberry #rassam,2025-11-10,60.0,24.0,41.09,2,0,23,0,2346,4.5131,2,680,1.32,0.0852514919011082,2025-11,0.98
R4CBtkhUaR0,Stuffed Capsicum in a min! #shorts #capsicum #stuffed #recipe #easyrecipe#healthierecipes24,2025-08-06,96.0,49.0,51.58,0,0,9,2,1155,7.8995,0,435,3.45,0.0,2025-08,0.95
q0KAYeu15lY,Indori Bhutte ka Kees🌽✨ #bhuttekakees #shorts #foodie #streetfood #monsoon #food,2024-07-27,43.0,16.0,38.54,0,0,13,0,582,2.558,0,1496,3.94,0.0,2024-07,2.23
w7JF1a5FYWE,🌕Sharadh purnima|Kojagiri Purnima special Masala milk✨🌼🌝#shorts #shortsyoutube #masaladoodh#recipe,2024-10-17,49.0,21.0,44.32,0,0,16,0,564,3.2884,0,3228,0.84,0.0,2024-10,2.84
VnhkoAabPnc,5 mins snacks #food #healthierecipes24 #smashedpotatoes,2025-02-06,47.0,19.0,42.5,0,0,16,0,560,3.0411,0,1637,2.02,0.0,2025-02,2.86
jhCg2b7eKFg,Soup Cravings #recipe #food #easyrecipe #soup #sweetcorn #shorts  #healthierecipes24,2025-08-24,46.0,25.0,54.42,0,0,21,0,1414,4.1458,0,506,1.78,0.0,2025-08,1.49
y2A_gjecO4U,🌼Easy Quick Prasad recipe🌼#shorts#ytshorts#prasad#navratrispecial#navratri2024#food,2024-10-03,46.0,19.0,41.76,5,2,15,0,547,2.8751,3,2908,1.2,0.9140767824497258,2024-10,2.74
UJIFXIXCm8c,Brought This home first time!#healthierecipes24 #food #redcabbage #shorts,2025-05-16,46.0,17.0,37.99,1,0,14,0,1925,3.2744,1,502,2.59,0.0519480519480519,2025-05,0.73
