Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Unique viewers,Subscribers gained,Subscribers lost,Likes,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
jyGdokDEcmY,Actor R.Mahadevan has this nutritious breakfast✨ #bollywood #food#kanji#breakfast#nutrition,"Jul 14, 2024",32,0:00:14,46.7,,3,0,39,0,5908,24.0765,3,2397,4.13
1Yv_64GIFXY,Kajol's favourite Malai rice✨🍚😋#food #malai #rice #kajol viral shorts shortsfeed food vlog #trending,"Jul 1, 2024",22,0:00:17,79.27,,7,1,72,0,5850,27.8353,6,3140,6.88
_QMuL1ryNa8,ROTIZZA RECIPE🔥🍕✨#rotizza #neenagupta #kareenakapoorkhan #recipe #shorts,"Nov 22, 2024",61,0:00:31,51.34,,4,0,88,1,5701,49.3981,4,7026,1.67
4P3Yuisu9X4,Discover Shahid Kapoor's Love for South Indian Utthappam!#shorts #shotsfeed #shahidkapoor,"Jul 26, 2024",18,0:00:11,66.5,,5,0,46,1,5695,18.8567,5,1444,1.25
U52LMlZPzSI,"Yami Gautam's love for ""Chamba Ka Rajma""✨#yamigautam #chambakarajma #shorts #food #foryou","Nov 10, 2024",44,0:00:13,30.17,,13,1,31,0,5259,19.3045,12,2810,2.92
6ll1sZYsMwc,Jackie Shroff's Special Chai recipe#jackieshroff#food#shorts #ytshorts#chai #tea,"Sep 18, 2024",30,0:00:21,70.57,,10,1,114,0,7001,31.8752,9,16783,7.89
YaOAxAfvbPQ,R Madhavan's favourite breakfast ✨🤌🏻#shorts #rmadhavan #food #kuzhipaniyaram,"Sep 22, 2024",28,0:00:19,68.39,,3,0,100,0,5238,27.2389,3,7646,4.67
HV9Xq3lYTyw,Diljit's Favourite Poha😋✨Kanda poha#favoritefood #shorts#shortsfeed#foodvlogdaily vlogtasty,"Jun 18, 2024",30,0:00:18,60.59,,8,1,59,0,5041,25.287,7,1951,2.41
j2P6x8yqeXo,The 'OG' Modak♥️✨|Ukdiche Modak#ukdichemodak #ganpati#shorts,"Sep 6, 2024",60,0:00:32,54.61,,11,1,173,3,5217,47.3704,10,69052,3.79
16knySwwc4Y,Nitin Gadakari's Vangi Potato sabji #food #easyrecipe #nitingadkari,"Aug 25, 2024",41,0:00:20,50.03,,5,0,70,3,4704,26.5994,5,2724,2.42
GToSa0RDSZE,90's Movie: Bombay to Goa✨#pakoda #shorts #shortsviral #trending#movies,"Jul 2, 2024",61,0:00:33,55.37,,10,2,79,1,7843,47.2966,8,89500,2.85
hjyFObTpY3A,Kitchen tip: How to preserve Banana leaf✨#food#kitchentips #shorts #shortsvideo,"Sep 28, 2024",27,0:00:24,90,,8,2,43,1,4832,29.4759,6,5116,5.81
olcwlPfIge0,Easy Recipe for Batatyacha Thalipeeth#rajthackeray #batatathalipeeth #shorts #viralvideo,"Nov 20, 2024",55,0:00:19,36.2,,6,1,56,1,5218,26.8085,5,21342,10.82
AG9ROau9RZs,✨Kissik star Sreeleela's favourite Paneer Mandi✨🔥#sreeleela #food #pushpa2 #shorts #viralvideo,"Dec 7, 2024",47,0:00:19,41.52,,9,2,80,1,4538,23.7211,7,52009,2.94
atsfAjoRFZY,👨🏻‍🍳Chef Vikas Khanna loves Fresh Sriracha🔥🌶️#sriracha #food #vikaskhanna #shortsfeed,"Aug 20, 2024",28,0:00:19,69.6,,3,0,83,2,4144,22.1783,3,2113,3.41
KKc6gPrFjNk,Ganpati bappa's Prasad Thali🙏🏻✨#naivedya #food #ganeshchaturthi #ytshorts #shorts,"Sep 7, 2024",53,0:00:29,54.74,,4,0,70,1,5409,34.8515,4,62361,3.14
5BZKhFkQutk,This is why SRK is the Coolest Dad😎✨#shahrukh #srk #shorts #risotto #kingkhan,"Nov 10, 2024",48,0:00:19,39.7,,2,0,42,0,3840,20.1958,2,3482,2.24
H22bs91h1Tk,Actor Shraddha Kapoor eats this for breakfast✨ #shorts #food #ytshots #viralshorts,"Jul 29, 2024",31,0:00:17,56.32,,6,0,42,0,3923,18.7225,6,862,3.71
gxeY9zQH7fE,🥵🔥Korean Cheese Ramen 🧀 🍜 #shorts #youtubeshorts #topramen #asmr,"Aug 17, 2024",44,0:00:25,57.01,,9,1,122,2,3723,25.928,8,3313,3.26
